"filename", "language", "XML", "YAML", "Markdown", "JSON", "Http", "C#", "comment", "blank", "total"
"e:\dev\a2a-dotnet\.github\copilot-instructions.md", "Markdown", 0, 0, 99, 0, 0, 0, 0, 34, 133
"e:\dev\a2a-dotnet\.github\dependabot.yml", "YAML", 0, 17, 0, 0, 0, 0, 0, 1, 18
"e:\dev\a2a-dotnet\.github\workflows\conventional-commits.yml", "YAML", 0, 23, 0, 0, 0, 0, 0, 4, 27
"e:\dev\a2a-dotnet\.github\workflows\copilot-setup-steps.yml", "YAML", 0, 21, 0, 0, 0, 0, 8, 6, 35
"e:\dev\a2a-dotnet\.github\workflows\dotnet-build.yml", "YAML", 0, 49, 0, 0, 0, 0, 2, 3, 54
"e:\dev\a2a-dotnet\.github\workflows\release.md", "Markdown", 0, 0, 30, 0, 0, 0, 0, 8, 38
"e:\dev\a2a-dotnet\.github\workflows\release.yaml", "YAML", 0, 138, 0, 0, 0, 0, 16, 39, 193
"e:\dev\a2a-dotnet\A2A-V1.0-MIGRATION-ANALYSIS.md", "Markdown", 0, 0, 729, 0, 0, 0, 0, 180, 909
"e:\dev\a2a-dotnet\A2A.slnx", "XML", 35, 0, 0, 0, 0, 0, 0, 1, 36
"e:\dev\a2a-dotnet\Directory.Build.props", "XML", 15, 0, 0, 0, 0, 0, 0, 2, 17
"e:\dev\a2a-dotnet\Directory.Packages.props", "XML", 45, 0, 0, 0, 0, 0, 6, 0, 51
"e:\dev\a2a-dotnet\README.md", "Markdown", 0, 0, 154, 0, 0, 0, 0, 54, 208
"e:\dev\a2a-dotnet\copilot-setup-steps.yml", "YAML", 0, 21, 0, 0, 0, 0, 8, 6, 35
"e:\dev\a2a-dotnet\docs\TaskManager-Callback-Guide.md", "Markdown", 0, 0, 155, 0, 0, 0, 0, 52, 207
"e:\dev\a2a-dotnet\docs\a2a-dotnet-threat-model.md", "Markdown", 0, 0, 342, 0, 0, 0, 0, 124, 466
"e:\dev\a2a-dotnet\global.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 5
"e:\dev\a2a-dotnet\samples\A2ACli\A2ACli.csproj", "XML", 18, 0, 0, 0, 0, 0, 0, 5, 23
"e:\dev\a2a-dotnet\samples\A2ACli\Host\A2ACli.cs", "C#", 0, 0, 0, 0, 0, 233, 23, 33, 289
"e:\dev\a2a-dotnet\samples\A2ACli\Properties\launchSettings.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 8
"e:\dev\a2a-dotnet\samples\AgentClient\AgentClient.csproj", "XML", 12, 0, 0, 0, 0, 0, 0, 4, 16
"e:\dev\a2a-dotnet\samples\AgentClient\AgentServerUtils.cs", "C#", 0, 0, 0, 0, 0, 95, 7, 18, 120
"e:\dev\a2a-dotnet\samples\AgentClient\Program.cs", "C#", 0, 0, 0, 0, 0, 18, 0, 5, 23
"e:\dev\a2a-dotnet\samples\AgentClient\README.md", "Markdown", 0, 0, 71, 0, 0, 0, 0, 31, 102
"e:\dev\a2a-dotnet\samples\AgentClient\Samples\GetAgentDetailsSample.cs", "C#", 0, 0, 0, 0, 0, 18, 43, 7, 68
"e:\dev\a2a-dotnet\samples\AgentClient\Samples\MessageBasedCommunicationSample.cs", "C#", 0, 0, 0, 0, 0, 44, 59, 14, 117
"e:\dev\a2a-dotnet\samples\AgentClient\Samples\TaskBasedCommunicationSample.cs", "C#", 0, 0, 0, 0, 0, 57, 57, 17, 131
"e:\dev\a2a-dotnet\samples\AgentServer\AgentServer.csproj", "XML", 17, 0, 0, 0, 0, 0, 0, 5, 22
"e:\dev\a2a-dotnet\samples\AgentServer\EchoAgent.cs", "C#", 0, 0, 0, 0, 0, 51, 2, 9, 62
"e:\dev\a2a-dotnet\samples\AgentServer\EchoAgentWithTasks.cs", "C#", 0, 0, 0, 0, 0, 66, 3, 13, 82
"e:\dev\a2a-dotnet\samples\AgentServer\Program.cs", "C#", 0, 0, 0, 0, 0, 72, 6, 15, 93
"e:\dev\a2a-dotnet\samples\AgentServer\Properties\launchSettings.json", "JSON", 0, 0, 0, 63, 0, 0, 0, 1, 64
"e:\dev\a2a-dotnet\samples\AgentServer\README.md", "Markdown", 0, 0, 109, 0, 0, 0, 0, 35, 144
"e:\dev\a2a-dotnet\samples\AgentServer\ResearcherAgent.cs", "C#", 0, 0, 0, 0, 0, 142, 9, 20, 171
"e:\dev\a2a-dotnet\samples\AgentServer\SpecComplianceAgent.cs", "C#", 0, 0, 0, 0, 0, 54, 5, 9, 68
"e:\dev\a2a-dotnet\samples\AgentServer\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 1, 9
"e:\dev\a2a-dotnet\samples\AgentServer\appsettings.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 1, 10
"e:\dev\a2a-dotnet\samples\AgentServer\http-tests\agent-card.http", "Http", 0, 0, 0, 0, 3, 0, 24, 8, 35
"e:\dev\a2a-dotnet\samples\AgentServer\http-tests\message-send.http", "Http", 0, 0, 0, 0, 71, 0, 32, 12, 115
"e:\dev\a2a-dotnet\samples\AgentServer\http-tests\message-stream.http", "Http", 0, 0, 0, 0, 56, 0, 28, 10, 94
"e:\dev\a2a-dotnet\samples\AgentServer\http-tests\push-notifications.http", "Http", 0, 0, 0, 0, 102, 0, 57, 25, 184
"e:\dev\a2a-dotnet\samples\AgentServer\http-tests\researcher-agent.http", "Http", 0, 0, 0, 0, 55, 0, 25, 9, 89
"e:\dev\a2a-dotnet\samples\AgentServer\http-tests\task-management.http", "Http", 0, 0, 0, 0, 47, 0, 34, 12, 93
"e:\dev\a2a-dotnet\samples\SemanticKernelAgent\Program.cs", "C#", 0, 0, 0, 0, 0, 36, 0, 5, 41
"e:\dev\a2a-dotnet\samples\SemanticKernelAgent\README.md", "Markdown", 0, 0, 32, 0, 0, 0, 0, 8, 40
"e:\dev\a2a-dotnet\samples\SemanticKernelAgent\SemanticKernelAgent.csproj", "XML", 27, 0, 0, 0, 0, 0, 0, 6, 33
"e:\dev\a2a-dotnet\samples\SemanticKernelAgent\SemanticKernelAgent.http", "Http", 0, 0, 0, 0, 22, 0, 2, 4, 28
"e:\dev\a2a-dotnet\samples\SemanticKernelAgent\SemanticKernelTravelAgent.cs", "C#", 0, 0, 0, 0, 0, 217, 41, 40, 298
"e:\dev\a2a-dotnet\samples\SemanticKernelAgent\appSettings-sample.Development.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 13
"e:\dev\a2a-dotnet\samples\SemanticKernelAgent\properties\launchsettings.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 10
"e:\dev\a2a-dotnet\src\A2A.AspNetCore\A2A.AspNetCore.csproj", "XML", 32, 0, 0, 0, 0, 0, 1, 8, 41
"e:\dev\a2a-dotnet\src\A2A.AspNetCore\A2AEndpointRouteBuilderExtensions.cs", "C#", 0, 0, 0, 0, 0, 62, 35, 24, 121
"e:\dev\a2a-dotnet\src\A2A.AspNetCore\A2AHttpProcessor.cs", "C#", 0, 0, 0, 0, 0, 193, 171, 43, 407
"e:\dev\a2a-dotnet\src\A2A.AspNetCore\A2AJsonRpcProcessor.cs", "C#", 0, 0, 0, 0, 0, 129, 49, 19, 197
"e:\dev\a2a-dotnet\src\A2A.AspNetCore\Caching\DistributedCacheTaskStore.cs", "C#", 0, 0, 0, 0, 0, 100, 10, 11, 121
"e:\dev\a2a-dotnet\src\A2A.AspNetCore\JsonRpcResponseResult.cs", "C#", 0, 0, 0, 0, 0, 19, 20, 7, 46
"e:\dev\a2a-dotnet\src\A2A.AspNetCore\JsonRpcStreamedResult.cs", "C#", 0, 0, 0, 0, 0, 33, 21, 7, 61
"e:\dev\a2a-dotnet\src\A2A.AspNetCore\Log.cs", "C#", 0, 0, 0, 0, 0, 14, 0, 4, 18
"e:\dev\a2a-dotnet\src\A2ALibs.slnx", "XML", 12, 0, 0, 0, 0, 0, 0, 1, 13
"e:\dev\a2a-dotnet\src\A2A\A2A.csproj", "XML", 38, 0, 0, 0, 0, 0, 4, 9, 51
