Date : 2026-02-12 13:50:41
Directory : e:\dev\a2a-dotnet
Total : 163 files,  16478 codes, 3426 comments, 2956 blanks, all 22860 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        118 |      9,107 |      3,177 |      1,926 |     14,210 |
| Markdown |         10 |      3,237 |          0 |        819 |      4,056 |
| JSON     |          8 |      2,161 |          0 |          5 |      2,166 |
| YAML     |          7 |      1,291 |         35 |         64 |      1,390 |
| Http     |          7 |        356 |        202 |         80 |        638 |
| XML      |         13 |        326 |         12 |         62 |        400 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        163 |     16,478 |      3,426 |      2,956 |     22,860 |
| . (Files)                                                                                                    |          7 |      1,004 |         14 |        243 |      1,261 |
| .github                                                                                                      |          7 |        377 |         26 |         95 |        498 |
| .github (Files)                                                                                              |          2 |        116 |          0 |         35 |        151 |
| .github\workflows                                                                                            |          5 |        261 |         26 |         60 |        347 |
| docs                                                                                                         |          2 |        497 |          0 |        176 |        673 |
| samples                                                                                                      |         33 |      1,856 |        457 |        382 |      2,695 |
| samples\A2ACli                                                                                               |          3 |        259 |         23 |         38 |        320 |
| samples\A2ACli (Files)                                                                                       |          1 |         18 |          0 |          5 |         23 |
| samples\A2ACli\Host                                                                                          |          1 |        233 |         23 |         33 |        289 |
| samples\A2ACli\Properties                                                                                    |          1 |          8 |          0 |          0 |          8 |
| samples\AgentClient                                                                                          |          7 |        315 |        166 |         96 |        577 |
| samples\AgentClient (Files)                                                                                  |          4 |        196 |          7 |         58 |        261 |
| samples\AgentClient\Samples                                                                                  |          3 |        119 |        159 |         38 |        316 |
| samples\AgentServer                                                                                          |         16 |        925 |        225 |        185 |      1,335 |
| samples\AgentServer (Files)                                                                                  |          9 |        528 |         25 |        108 |        661 |
| samples\AgentServer\Properties                                                                               |          1 |         63 |          0 |          1 |         64 |
| samples\AgentServer\http-tests                                                                               |          6 |        334 |        200 |         76 |        610 |
| samples\SemanticKernelAgent                                                                                  |          7 |        357 |         43 |         63 |        463 |
| samples\SemanticKernelAgent (Files)                                                                          |          6 |        347 |         43 |         63 |        453 |
| samples\SemanticKernelAgent\properties                                                                       |          1 |         10 |          0 |          0 |         10 |
| src                                                                                                          |         76 |      4,084 |      2,186 |        762 |      7,032 |
| src (Files)                                                                                                  |          2 |         31 |          0 |          6 |         37 |
| src\A2A                                                                                                      |         66 |      3,471 |      1,879 |        633 |      5,983 |
| src\A2A (Files)                                                                                              |         11 |      1,322 |        239 |         90 |      1,651 |
| src\A2A.AspNetCore                                                                                           |          8 |        582 |        307 |        123 |      1,012 |
| src\A2A.AspNetCore (Files)                                                                                   |          7 |        482 |        297 |        112 |        891 |
| src\A2A.AspNetCore\Caching                                                                                   |          1 |        100 |         10 |         11 |        121 |
| src\A2A\Client                                                                                               |          5 |        380 |        107 |         74 |        561 |
| src\A2A\Extensions                                                                                           |          2 |        158 |         37 |         26 |        221 |
| src\A2A\JsonRpc                                                                                              |          7 |        381 |        293 |         84 |        758 |
| src\A2A\Models                                                                                               |         32 |        682 |        848 |        214 |      1,744 |
| src\A2A\Polyfills                                                                                            |          4 |         42 |         85 |         19 |        146 |
| src\A2A\Polyfills\System                                                                                     |          4 |         42 |         85 |         19 |        146 |
| src\A2A\Polyfills\System\Diagnostics                                                                         |          1 |         18 |         60 |          8 |         86 |
| src\A2A\Polyfills\System\Diagnostics\CodeAnalysis                                                            |          1 |         18 |         60 |          8 |         86 |
| src\A2A\Polyfills\System\Runtime                                                                             |          3 |         24 |         25 |         11 |         60 |
| src\A2A\Polyfills\System\Runtime\CompilerServices                                                            |          3 |         24 |         25 |         11 |         60 |
| src\A2A\Server                                                                                               |          5 |        506 |        270 |        126 |        902 |
| tests                                                                                                        |         38 |      8,660 |        743 |      1,298 |     10,701 |
| tests\A2A.AspNetCore.UnitTests                                                                               |         10 |      4,584 |        250 |        553 |      5,387 |
| tests\A2A.AspNetCore.UnitTests (Files)                                                                       |          9 |      4,582 |        250 |        552 |      5,384 |
| tests\A2A.AspNetCore.UnitTests\Properties                                                                    |          1 |          2 |          0 |          1 |          3 |
| tests\A2A.UnitTests                                                                                          |         28 |      4,076 |        493 |        745 |      5,314 |
| tests\A2A.UnitTests (Files)                                                                                  |          3 |        174 |         19 |         25 |        218 |
| tests\A2A.UnitTests\Client                                                                                   |          3 |        617 |         69 |        135 |        821 |
| tests\A2A.UnitTests\GitHubIssues                                                                             |          1 |        109 |          0 |          6 |        115 |
| tests\A2A.UnitTests\JsonRpc                                                                                  |          6 |        705 |        119 |        158 |        982 |
| tests\A2A.UnitTests\Models                                                                                   |         11 |      1,569 |        172 |        236 |      1,977 |
| tests\A2A.UnitTests\Properties                                                                               |          1 |          2 |          0 |          1 |          3 |
| tests\A2A.UnitTests\Server                                                                                   |          3 |        900 |        114 |        184 |      1,198 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                     | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\dev\a2a-dotnet\.github\copilot-instructions.md                                                            | Markdown |         99 |          0 |         34 |        133 |
| e:\dev\a2a-dotnet\.github\dependabot.yml                                                                     | YAML     |         17 |          0 |          1 |         18 |
| e:\dev\a2a-dotnet\.github\workflows\conventional-commits.yml                                                 | YAML     |         23 |          0 |          4 |         27 |
| e:\dev\a2a-dotnet\.github\workflows\copilot-setup-steps.yml                                                  | YAML     |         21 |          8 |          6 |         35 |
| e:\dev\a2a-dotnet\.github\workflows\dotnet-build.yml                                                         | YAML     |         49 |          2 |          3 |         54 |
| e:\dev\a2a-dotnet\.github\workflows\release.md                                                               | Markdown |         30 |          0 |          8 |         38 |
| e:\dev\a2a-dotnet\.github\workflows\release.yaml                                                             | YAML     |        138 |         16 |         39 |        193 |
| e:\dev\a2a-dotnet\A2A-V1.0-MIGRATION-ANALYSIS.md                                                             | Markdown |        729 |          0 |        180 |        909 |
| e:\dev\a2a-dotnet\A2A.slnx                                                                                   | XML      |         35 |          0 |          1 |         36 |
| e:\dev\a2a-dotnet\Directory.Build.props                                                                      | XML      |         15 |          0 |          2 |         17 |
| e:\dev\a2a-dotnet\Directory.Packages.props                                                                   | XML      |         45 |          6 |          0 |         51 |
| e:\dev\a2a-dotnet\README.md                                                                                  | Markdown |        154 |          0 |         54 |        208 |
| e:\dev\a2a-dotnet\copilot-setup-steps.yml                                                                    | YAML     |         21 |          8 |          6 |         35 |
| e:\dev\a2a-dotnet\docs\TaskManager-Callback-Guide.md                                                         | Markdown |        155 |          0 |         52 |        207 |
| e:\dev\a2a-dotnet\docs\a2a-dotnet-threat-model.md                                                            | Markdown |        342 |          0 |        124 |        466 |
| e:\dev\a2a-dotnet\global.json                                                                                | JSON     |          5 |          0 |          0 |          5 |
| e:\dev\a2a-dotnet\samples\A2ACli\A2ACli.csproj                                                               | XML      |         18 |          0 |          5 |         23 |
| e:\dev\a2a-dotnet\samples\A2ACli\Host\A2ACli.cs                                                              | C#       |        233 |         23 |         33 |        289 |
| e:\dev\a2a-dotnet\samples\A2ACli\Properties\launchSettings.json                                              | JSON     |          8 |          0 |          0 |          8 |
| e:\dev\a2a-dotnet\samples\AgentClient\AgentClient.csproj                                                     | XML      |         12 |          0 |          4 |         16 |
| e:\dev\a2a-dotnet\samples\AgentClient\AgentServerUtils.cs                                                    | C#       |         95 |          7 |         18 |        120 |
| e:\dev\a2a-dotnet\samples\AgentClient\Program.cs                                                             | C#       |         18 |          0 |          5 |         23 |
